29.34027, 1929.55347, -13.33368, 6.43994
29.56915, 1945.22900, -13.56213, 6.76355
29.79993, 1960.89587, -13.79248, 7.09619
30.03284, 1976.55408, -14.02484, 7.43738
30.26770, 1992.20312, -14.25916, 7.78735
30.50500, 2007.84326, -14.49567, 8.14648
30.74438, 2023.47424, -14.73431, 8.51440
29.82904, -6.71045, 2.17999, 6.71777
29.87653, 9.45557, 2.13196, 6.55121
29.92517, 25.62073, 2.08289, 6.38538
29.97473, 41.78546, 2.03265, 6.22003
30.02527, 57.94928, 1.98145, 6.05554
30.07697, 74.11230, 1.92920, 5.89203
30.12970, 90.27460, 1.87598, 5.72925
30.18372, 106.43604, 1.82159, 5.56738
30.23846, 122.59656, 1.76630, 5.40637
30.29443, 138.75598, 1.70972, 5.24634
30.35156, 154.91473, 1.65222, 5.08728
30.40955, 171.07233, 1.59375, 4.92944
30.46887, 187.22876, 1.53406, 4.77258
30.52930, 203.38409, 1.47327, 4.61676
30.59070, 219.53833, 1.41156, 4.46228
30.65320, 235.69135, 1.34869, 4.30908
30.71692, 251.84314, 1.28467, 4.15704
30.78168, 267.99359, 1.21936, 4.00641
30.84766, 284.14270, 1.15326, 3.85706
30.91467, 300.29047, 1.08594, 3.70911
30.98285, 316.43658, 1.01740, 3.56262
31.05219, 332.58142, 0.94781, 3.41766
31.12268, 348.72473, 0.87701, 3.27429
31.19440, 364.86646, 0.80499, 3.13251
31.26715, 381.00653, 0.73206, 2.99231
31.34119, 397.14490, 0.65784, 2.85382
31.41632, 413.28149, 0.58252, 2.71710
31.49274, 429.41644, 0.50592, 2.58221
31.57025, 445.54950, 0.42798, 2.44904
31.64911, 461.68066, 0.34912, 2.31787
31.72900, 477.80988, 0.26904, 2.18854
31.81018, 493.93719, 0.18768, 2.06122
31.89258, 510.06244, 0.10522, 1.93597
31.97614, 526.18555, 0.02155, 1.81281
32.06110, 542.30664, -0.06354, 1.69177
32.14722, 558.42554, -0.14966, 1.57300
32.23450, 574.54211, -0.23712, 1.45642
32.32306, 590.65649, -0.32556, 1.34204
32.41284, 606.76843, -0.41565, 1.23010
32.50397, 622.87805, -0.50677, 1.12048
32.59650, 638.98523, -0.59918, 1.01343
32.68994, 655.08984, -0.69281, 0.90881
32.78503, 671.19196, -0.78784, 0.80676
32.88116, 687.29144, -0.88422, 0.70734
32.97864, 703.38824, -0.98169, 0.61066
33.07764, 719.48230, -1.08051, 0.51660
33.17767, 735.57361, -1.18073, 0.42542
33.27911, 751.66211, -1.28229, 0.33691
33.38196, 767.74768, -1.38513, 0.25140
33.48608, 783.83032, -1.48938, 0.16882
33.59155, 799.90991, -1.59460, 0.08936
33.69849, 815.98645, -1.70154, 0.01288
33.80664, 832.05988, -1.80981, -0.06049
33.91620, 848.13013, -1.91937, -0.13074
34.02710, 864.19708, -2.03015, -0.19757
34.13947, 880.26074, -2.14246, -0.26111
34.25311, 896.32104, -2.25610, -0.32141
34.36823, 912.37793, -2.37128, -0.37817
34.48474, 928.43127, -2.48761, -0.43146
34.60266, 944.48114, -2.60553, -0.48126
34.72192, 960.52728, -2.72479, -0.52734
34.84259, 976.56982, -2.84546, -0.56982
34.96484, 992.60864, -2.96771, -0.60858
35.08856, 1008.64362, -3.09125, -0.64349
35.21356, 1024.67468, -3.21637, -0.67444
35.34021, 1040.70190, -3.34271, -0.70166
35.46808, 1056.72510, -3.47070, -0.72485
35.59760, 1072.74414, -3.60022, -0.74377
35.72864, 1088.75903, -3.73108, -0.75867
35.86102, 1104.76990, -3.86353, -0.76941
35.99500, 1120.77637, -3.99750, -0.77588
36.13043, 1136.77856, -4.13287, -0.77795
36.26740, 1152.77625, -4.26984, -0.77563
36.40607, 1168.76953, -4.40826, -0.76892
36.54602, 1184.75830, -4.54822, -0.75757
36.68774, 1200.74243, -4.68970, -0.74170
36.83081, 1216.72180, -4.83295, -0.72107
36.97546, 1232.69653, -4.97748, -0.69580
37.12189, 1248.66638, -5.12372, -0.66553
37.26971, 1264.63135, -5.27148, -0.63049
37.41913, 1280.59131, -5.42090, -0.59045
37.57019, 1296.54626, -5.57184, -0.54541
37.72290, 1312.49609, -5.72443, -0.49524
37.87720, 1328.44067, -5.87866, -0.43970
38.03302, 1344.38013, -6.03436, -0.37927
38.19055, 1360.31409, -6.19202, -0.31311
38.34973, 1376.24268, -6.35107, -0.24170
38.51062, 1392.16577, -6.51178, -0.16492
38.67310, 1408.08325, -6.67419, -0.08240
38.83734, 1423.99512, -6.83832, 0.00574
39.00317, 1439.90125, -7.00415, 0.09949
39.17065, 1455.80164, -7.17175, 0.19910
39.33990, 1471.69617, -7.34070, 0.30457
39.51080, 1487.58459, -7.51147, 0.41614
39.68353, 1503.46704, -7.68420, 0.53369
39.85797, 1519.34338, -7.85846, 0.65735
40.03412, 1535.21338, -8.03455, 0.78711
40.21198, 1551.07715, -8.21228, 0.92334
40.39166, 1566.93457, -8.39178, 1.06592
40.57312, 1582.78552, -8.57324, 1.21484
40.75641, 1598.62988, -8.75616, 1.37036
40.94141, 1614.46777, -8.94116, 1.53235
41.12817, 1630.29883, -9.12781, 1.70129
41.31689, 1646.12305, -9.31628, 1.87683
41.50726, 1661.94043, -9.50665, 2.05933
41.69958, 1677.75073, -9.69873, 2.24890
41.89368, 1693.55396, -9.89282, 2.44556
42.08972, 1709.35010, -10.08850, 2.64917
42.28766, 1725.13892, -10.28638, 2.86011
42.48737, 1740.92053, -10.48566, 3.07825
42.68903, 1756.69458, -10.68713, 3.30396
42.89264, 1772.46130, -10.89038, 3.53711
43.09814, 1788.22009, -11.09570, 3.77795
43.30548, 1803.97144, -11.30286, 4.02637
43.51483, 1819.71484, -11.51178, 4.28259
43.72607, 1835.45044, -11.72284, 4.54663
43.93933, 1851.17786, -11.93567, 4.81860
44.15454, 1866.89746, -12.15057, 5.09888
44.37170, 1882.60864, -12.36743, 5.38721
44.59094, 1898.31165, -12.58630, 5.68372
44.81213, 1914.00610, -12.80701, 5.98853
45.03534, 1929.69214, -13.02972, 6.30200
45.26062, 1945.36963, -13.25452, 6.62390
45.48785, 1961.03857, -13.48138, 6.95435
45.71722, 1976.69861, -13.71008, 7.29358
45.94867, 1992.34961, -13.94104, 7.64185
46.18213, 2007.99182, -14.17395, 7.99890
46.41779, 2023.62476, -14.40894, 8.36523
45.76801, -6.77893, 2.24054, 6.78601
45.81470, 9.38861, 2.19318, 6.61774
45.86249, 25.55542, 2.14490, 6.45026
45.91119, 41.72162, 2.09546, 6.28351
45.96100, 57.88708, 2.04504, 6.11755
46.01190, 74.05176, 1.99390, 5.95227
46.06378, 90.21570, 1.94141, 5.78784
46.11682, 106.37866, 1.88800, 5.62439
46.17084, 122.54083, 1.83350, 5.46179
46.22583, 138.70203, 1.77802, 5.30011
46.28192, 154.86224, 1.72137, 5.13959
46.33911, 171.02136, 1.66382, 4.98010
46.39740, 187.17950, 1.60510, 4.82166
46.45679, 203.33643, 1.54547, 4.66431
46.51727, 219.49225, 1.48462, 4.50818
46.57880, 235.64691, 1.42267, 4.35333
46.64136, 251.80023, 1.35974, 4.19983
46.70514, 267.95233, 1.29578, 4.04749
46.77020, 284.10303, 1.23041, 3.89661
46.83612, 300.25244, 1.16412, 3.74713
46.90326, 316.40027, 1.09686, 3.59900
46.97131, 332.54669, 1.02838, 3.45239
47.04065, 348.69147, 0.95874, 3.30743
47.11133, 364.83484, 0.88794, 3.16400
47.18304, 380.97656, 0.81616, 3.02234
47.25592, 397.11652, 0.74310, 2.88226
47.32971, 413.25476, 0.66882, 2.74384
47.40485, 429.39124, 0.59357, 2.60724
47.48126, 445.52600, 0.51709, 2.47260
47.55878, 461.65875, 0.43939, 2.33972
47.63745, 477.78961, 0.36060, 2.20886
47.71741, 493.91852, 0.28046, 2.08002
47.79846, 510.04535, 0.19940, 1.95306
47.88074, 526.17017, 0.11694, 1.82837
47.96429, 542.29285, 0.03339, 1.70569
48.04895, 558.41333, -0.05145, 1.58521
48.13489, 574.53162, -0.13751, 1.46692
48.22217, 590.64758, -0.22479, 1.35101
48.31049, 606.76117, -0.31317, 1.23749
48.40015, 622.87238, -0.40295, 1.12616
48.49109, 638.98120, -0.49377, 1.01758
48.58325, 655.08746, -0.58618, 0.91125
48.67657, 671.19116, -0.67957, 0.80762
48.77136, 687.29230, -0.77435, 0.70654
48.86743, 703.39075, -0.87042, 0.60815
48.96472, 719.48645, -0.96771, 0.51251
49.06329, 735.57947, -1.06622, 0.41956
49.16315, 751.66956, -1.16614, 0.32953
49.26422, 767.75671, -1.26733, 0.24243
49.36676, 783.84100, -1.36987, 0.15820
49.47064, 799.92224, -1.47382, 0.07703
49.57581, 816.00049, -1.57880, -0.00110
49.68225, 832.07556, -1.68536, -0.07617
49.79010, 848.14740, -1.79321, -0.14789
49.89929, 864.21600, -1.90240, -0.21643
50.00970, 880.28137, -2.01288, -0.28174
50.12177, 896.34332, -2.12457, -0.34363
50.23511, 912.40186, -2.23792, -0.40204
50.34979, 928.45691, -2.35260, -0.45703
50.46570, 944.50836, -2.46863, -0.50842
